"Source:","C:\Workspace\HoloCubic\1.Hardware\Naive Version\HoloCubic-Assembled\MainBoard\Main.kicad_sch"
"Date:","2022/7/7 15:54:47"
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Software\Tech\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","34"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"A1, ","1","RAINSUN","0_ANT-Rainsun-AP5120","ANT-Rainsun-AN5120","",""
"C1, C5, C7, C8, C10, C11, ","6","0.1uF","2_ç”µå®¹-0402","CAP_0402","Capacitor",""
"C2, C4, ","2","10uF","1_ç”µå®¹-0402","CAP_0402","Capacitor",""
"C3, C6, ","2","10nF","1_ç”µå®¹-0402","CAP_0402","Capacitor",""
"C9, ","1","2.2nF","2_ç”µå®¹-0402","CAP_0402","Capacitor",""
"CON1, ","1","FFC_0.5_8","2_FFC_0.5_8","FFC_0.5_8","FFC",""
"D1, ","1","RGB","0_LED_5050_WS2812B","LED_5050_WS2812B","LED",""
"J1, ","1","TF-Socket","0_TF-Socket","TF-Card-Amphenol with TF","10 _8 + 2_ Position Card Connector Secure Digital - microSDÃ¢â€žÂ¢ Surface Mount, Right Angle Gold",""
"R1, R6, R7, R8, R9, R10, R11, ","7","10K","2_ç”µé˜»-0402","RES_0402","Resistor",""
"R2, ","1","0R","3_ç”µé˜»-0402","RES_0402","Resistor",""
"R3, ","1","200R","2_ç”µé˜»-0402","RES_0402","Resistor",""
"R4, R5, ","2","12K","2_ç”µé˜»-0402","RES_0402","Resistor",""
"U1, ","1","CP2102","0_CP2102","QFN-28","USBè½¬TTL",""
"U2, ","1","LP2992 3V3","0_LP2992","SOT23-5","LDO",""
"U3, ","1","MPU6050","3_MPU6050","QFN-24","å…­è½´ä¼ æ„Ÿå™¨",""
"U4, ","1","ESP32_SIP","0_ESP32-PICO","QFN-48_7X7","",""
"U5, ","1","BH1750FVI-TR","0_BH1750FVI-TR","BH1750FVI","",""
"USB1, ","1","Type-C","0_USB-Type-C-TOP","Type-C-TOP","",""
"VT1, VT2, ","2","S8050","2_SMT_TRIODE_NPN","SMT_TRIODE_NPN","Surface mount NPN transistor, package SOT-23",""
